             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
          59576825 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576824 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576823 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576822 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576821 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576820 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576819 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576818 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576817 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576816 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576815 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576814 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576813 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576812 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576811 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576810 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576809 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576808 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576807 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576806 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576805 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576804 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576803 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576802 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576801 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576800 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576799 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576798 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576797 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576796 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576795 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576794 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576793 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576792 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576791 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576790 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576789 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576788 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576787 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576786 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576785 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576784 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576783 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576782 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576781 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576780 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576779 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576778 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576777 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576776 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576775 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576774 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576773 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576772 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576771 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576770 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576769 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576768 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576767 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576766 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576765 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576764 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576763 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576762 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576761 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576760 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576759 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576758 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576757 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576756 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576755 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576754 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576753 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576752 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576751 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576750 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576749 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576748 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576747 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576746 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576745 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576744 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576743 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576742 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576741 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576740 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
